iter	Passed	Remaining
449	1063	1300
450	1066	1297
451	1067	1294
452	1069	1291
453	1070	1287
454	1072	1284
455	1074	1281
456	1077	1280
457	1079	1277
458	1081	1274
459	1083	1271
460	1086	1270
461	1088	1267
462	1093	1268
463	1099	1270
464	1128	1298
465	1133	1299
466	1136	1297
467	1151	1309
468	1153	1306
469	1155	1302
470	1157	1300
471	1170	1309
472	1172	1306
473	1174	1303
474	1177	1301
475	1182	1302
476	1185	1299
477	1186	1296
478	1188	1292
479	1190	1289
480	1193	1287
481	1232	1324
482	1234	1321
483	1237	1318
484	1239	1315
485	1244	1316
486	1247	1313
487	1278	1341
488	1281	1338
489	1285	1338
490	1293	1341
491	1300	1343
492	1309	1346
493	1312	1344
494	1315	1341
495	1317	1338
496	1321	1337
497	1323	1334
498	1325	1330
499	1329	1329
500	1332	1327
501	1335	1324
502	1337	1321
503	1339	1318
504	1341	1315
505	1349	1317
506	1355	1317
507	1357	1314
508	1364	1316
509	1366	1312
510	1368	1309
511	1370	1306
512	1373	1303
513	1379	1304
514	1381	1300
515	1382	1296
516	1384	1293
517	1386	1289
518	1387	1286
519	1389	1282
520	1392	1280
521	1394	1276
522	1396	1273
523	1397	1269
524	1399	1266
525	1400	1262
526	1402	1258
527	1405	1256
528	1409	1254
529	1410	1251
530	1412	1247
531	1413	1243
532	1415	1240
533	1417	1236
534	1418	1232
535	1419	1229
536	1424	1228
537	1426	1224
538	1428	1221
539	1429	1217
540	1430	1214
541	1432	1210
542	1434	1207
543	1436	1203
544	1439	1201
545	1440	1197
546	1442	1194
547	1443	1190
548	1445	1187
549	1446	1183
550	1447	1179
551	1449	1176
552	1450	1172
553	1454	1171
554	1456	1167
555	1457	1164
556	1459	1160
557	1460	1156
558	1462	1154
559	1464	1150
560	1466	1147
561	1471	1147
562	1473	1143
563	1475	1140
564	1476	1136
565	1480	1135
566	1482	1132
567	1485	1129
568	1486	1126
569	1488	1122
570	1490	1119
571	1491	1116
572	1493	1112
573	1494	1109
574	1495	1105
575	1501	1105
576	1503	1102
577	1504	1098
578	1505	1094
579	1507	1091
580	1509	1088
581	1510	1084
582	1511	1081
583	1514	1078
584	1516	1075
585	1518	1072
586	1519	1068
587	1520	1065
588	1521	1061
